"","Year","Land_Ocean_Temp","CO2_Concentration","N2O_Concentration","CH4_Concentration","Year1","Entity","Population","GDP_PerCap","GDP_Rank","CO2_Share","CO2_Share_Rank","Year2","Entity1","CO2_Emissions","CO2_PerCap","CO2_PerCapRank","N2O_Emissions","N2O_PerCap","N2O_PerCapRank","Year3","Entity2","CH4_Emissions","CH4_PerCap","CH4_PerCapRank"
"1821","2011",14.48,391.65,324.61,1803.42,"2011","Ethiopia",9014,354.48,"Very Low",0.0218,"Less Than 0.5%","2011","Ethiopia",747.895484,0.0829704331040604,"Very Low",3946.28109,0.437794662746838,"High","2011","Ethiopia",6384.8867,0.708330008875083,"Low"
"1822","2012",14.54,393.85,325.58,1810.33,"2012","Ethiopia",9272.7,467.08,"Very Low",0.0233,"Less Than 0.5%","2012","Ethiopia",814.953809,0.087887433972845,"Very Low",3985.35318,0.429794254100747,"High","2012","Ethiopia",6448.1034,0.695385745252192,"Low"
"1823","2013",14.57,396.52,326.53,1815.44,"2013","Ethiopia",9538.6,499.53,"Very Low",0.0286,"Less Than 0.5%","2013","Ethiopia",1008.018666,0.105677842241,"Very Low",NA,NA,NA,"2013","Ethiopia",NA,NA,NA
"1824","2014",14.64,398.65,327.61,1824.4,"2014","Ethiopia",9809.4,566.93,"Very Low",0.031,"Less Than 0.5%","2014","Ethiopia",1099.106931,0.112046295492079,"Very Low",NA,NA,NA,"2014","Ethiopia",NA,NA,NA
"1825","2015",14.83,400.83,328.51,1834.63,"2015","Ethiopia",10083.5,640.54,"Very Low",0.0349,"Less Than 0.5%","2015","Ethiopia",1238.142648,0.122788976843358,"Very Low",NA,NA,NA,"2015","Ethiopia",NA,NA,NA
"1826","2016",14.89,404.24,329.29,1842.4,"2016","Ethiopia",10360.3,717.12,"Very Low",0.0363,"Less Than 0.5%","2016","Ethiopia",1294.189217,0.124918121772536,"Very Low",NA,NA,NA,"2016","Ethiopia",NA,NA,NA
"1827","2017",14.81,406.55,NA,1849.63,"2017","Ethiopia",10640,768.43,"Very Low",0.0371,"Less Than 0.5%","2017","Ethiopia",1339.624084,0.125904519172932,"Very Low",NA,NA,NA,"2017","Ethiopia",NA,NA,NA
"1828","1955",13.77,314.71,290.1,1207.03,"1955","Fiji",33.5,NA,NA,0.0024,"Less Than 0.5%","1955","Fiji",17.2208,0.514053731343284,"Low",NA,NA,NA,"1955","Fiji",NA,NA,NA
"1829","1956",13.72,315.34,NA,NA,"1956","Fiji",34.6,NA,NA,0.0025,"Less Than 0.5%","1956","Fiji",19.4192,0.561248554913295,"Low",NA,NA,NA,"1956","Fiji",NA,NA,NA
"1830","1957",13.97,315.34,NA,NA,"1957","Fiji",35.7,NA,NA,0.0021,"Less Than 0.5%","1957","Fiji",16.488,0.461848739495798,"Low",NA,NA,NA,"1957","Fiji",NA,NA,NA
"1831","1958",14.03,315.34,NA,NA,"1958","Fiji",36.8,NA,NA,0.0021,"Less Than 0.5%","1958","Fiji",17.5872,0.477913043478261,"Low",NA,NA,NA,"1958","Fiji",NA,NA,NA
"1832","1959",13.98,315.97,NA,NA,"1959","Fiji",38.1,NA,NA,0.0022,"Less Than 0.5%","1959","Fiji",19.7856,0.519307086614173,"Low",NA,NA,NA,"1959","Fiji",NA,NA,NA
"1833","1960",13.95,316.91,291.4,1262.97,"1960","Fiji",39.3,285.47,"Low",0.0021,"Less Than 0.5%","1960","Fiji",19.4192,0.494127226463104,"Low",NA,NA,NA,"1960","Fiji",NA,NA,NA
"1834","1961",14,317.64,NA,NA,"1961","Fiji",40.7,287.26,"Low",0.0018,"Less Than 0.5%","1961","Fiji",16.8544,0.414113022113022,"Low",NA,NA,NA,"1961","Fiji",NA,NA,NA
"1835","1962",14.01,318.45,NA,NA,"1962","Fiji",42.2,291.48,"Low",0.0023,"Less Than 0.5%","1962","Fiji",23.0832,0.546995260663507,"Low",NA,NA,NA,"1962","Fiji",NA,NA,NA
"1836","1963",14.02,318.99,NA,NA,"1963","Fiji",43.6,296.72,"Low",0.0023,"Less Than 0.5%","1963","Fiji",24.1824,0.554642201834862,"Low",NA,NA,NA,"1963","Fiji",NA,NA,NA
"1837","1964",13.76,319.62,NA,NA,"1964","Fiji",45.1,310.81,"Low",0.0039,"Less Than 0.5%","1964","Fiji",42.490514,0.94214,"Low",NA,NA,NA,"1964","Fiji",NA,NA,NA
"1838","1965",13.83,320.04,292.9,1328.47,"1965","Fiji",46.4,317.01,"Low",0.003,"Less Than 0.5%","1965","Fiji",34.426742,0.741955646551724,"Low",NA,NA,NA,"1965","Fiji",NA,NA,NA
"1839","1966",13.89,321.38,NA,NA,"1966","Fiji",47.6,316.13,"Low",0.0027,"Less Than 0.5%","1966","Fiji",32.22537,0.677003571428571,"Low",NA,NA,NA,"1966","Fiji",NA,NA,NA
"1840","1967",13.9,322.16,NA,NA,"1967","Fiji",48.8,333.26,"Low",0.0029,"Less Than 0.5%","1967","Fiji",35.52297,0.727929713114754,"Low",NA,NA,NA,"1967","Fiji",NA,NA,NA
"1841","1968",13.87,323.04,NA,NA,"1968","Fiji",49.9,334.62,"Low",0.003,"Less Than 0.5%","1968","Fiji",39.550399,0.792593166332666,"Low",NA,NA,NA,"1968","Fiji",NA,NA,NA
"1842","1969",14.01,324.62,NA,NA,"1969","Fiji",51,357.43,"Low",0.0031,"Less Than 0.5%","1969","Fiji",43.214399,0.847341156862745,"Low",NA,NA,NA,"1969","Fiji",NA,NA,NA
"1843","1970",13.96,325.68,294.9,1403.19,"1970","Fiji",52.1,422.39,"Low",0.0035,"Less Than 0.5%","1970","Fiji",52.005027,0.998177101727447,"Low",18.0179129999999,0.345833262955852,"Low","1970","Fiji",41.6296,0.799032629558541,"Very Low"
"1844","1971",13.83,326.32,NA,NA,"1971","Fiji",53.2,466.01,"Low",0.0036,"Less Than 0.5%","1971","Fiji",54.927313,1.03246828947368,"Low",18.922338,0.355683045112782,"Low","1971","Fiji",40.7265,0.765535714285714,"Very Low"
"1845","1972",13.94,327.45,NA,NA,"1972","Fiji",54.3,583.32,"Low",0.0036,"Less Than 0.5%","1972","Fiji",57.855541,1.06547957642726,"Low",20.13512,0.370812523020258,"Low","1972","Fiji",41.0592,0.756154696132597,"Very Low"
"1846","1973",14.09,329.68,NA,NA,"1973","Fiji",55.4,768.7,"Low",0.0037,"Less Than 0.5%","1973","Fiji",62.985141,1.13691590252708,"Low",20.526433,0.370513231046931,"Low","1973","Fiji",41.7714,0.753996389891697,"Very Low"
"1847","1974",13.84,330.18,NA,NA,"1974","Fiji",56.5,987.93,"Low",0.004,"Less Than 0.5%","1974","Fiji",67.018513,1.18616837168142,"Low",22.909279,0.40547396460177,"Low","1974","Fiji",43.7426,0.774205309734513,"Very Low"
"1848","1975",13.91,331.11,297.4,1483.57,"1975","Fiji",57.7,1186.68,"Low",0.0037,"Less Than 0.5%","1975","Fiji",62.258284,1.07899972270364,"Low",22.083222,0.382724818024263,"Low","1975","Fiji",46.0217,0.797603119584055,"Low"
"1849","1976",13.83,332.04,NA,NA,"1976","Fiji",58.8,1182.1,"Low",0.0027,"Less Than 0.5%","1976","Fiji",48.299741,0.821424166666667,"Low",23.626588,0.401812721088435,"Low","1976","Fiji",45.5156,0.774074829931973,"Low"
"1850","1977",14.11,333.83,NA,NA,"1977","Fiji",59.8,1202.64,"Low",0.0042,"Less Than 0.5%","1977","Fiji",76.46274,1.27864113712375,"Low",25.457355,0.425708277591973,"Low","1977","Fiji",47.429,0.793127090301003,"Low"
"1851","1978",14.02,335.4,298.82,1532.77,"1978","Fiji",60.9,1360.79,"Low",0.0038,"Less Than 0.5%","1978","Fiji",70.908425,1.16434195402299,"Low",24.380632,0.400338784893268,"Low","1978","Fiji",46.6818,0.766532019704434,"Very Low"
"1852","1979",14.13,336.84,300.04,1549.53,"1979","Fiji",62.2,1640.55,"Low",0.0043,"Less Than 0.5%","1979","Fiji",83.645596,1.34478450160772,"Low",28.125091,0.452171881028939,"Low","1979","Fiji",50.6212,0.813845659163987,"Low"
"1853","1980",14.18,338.75,300.65,1566.28,"1980","Fiji",63.5,1892.89,"Low",0.0041,"Less Than 0.5%","1980","Fiji",79.241967,1.24790499212598,"Low",29.215175,0.460081496062992,"Low","1980","Fiji",51.4001999999999,0.809451968503935,"Low"
"1854","1981",14.22,340.11,301.23,1583.48,"1981","Fiji",65.1,1898.4,"Low",0.0057,"Less Than 0.5%","1981","Fiji",107.717309,1.65464376344086,"Low",31.46128,0.48327619047619,"Low","1981","Fiji",52.3405999999999,0.804003072196619,"Low"
"1855","1982",14.09,341.45,303.56,1600.69,"1982","Fiji",66.8,1786.7,"Low",0.0045,"Less Than 0.5%","1982","Fiji",83.512337,1.25018468562874,"Low",30.41813,0.45536122754491,"Low","1982","Fiji",53.816,0.80562874251497,"Low"
"1856","1983",14.26,343.05,303.78,1617.89,"1983","Fiji",68.5,1638.38,"Low",0.0038,"Less Than 0.5%","1983","Fiji",70.892564,1.03492794160584,"Low",28.652897,0.418290467153285,"Low","1983","Fiji",52.767,0.770321167883212,"Low"
"1857","1984",14.07,344.65,304.02,1635.09,"1984","Fiji",70,1681.69,"Low",0.003,"Less Than 0.5%","1984","Fiji",57.720878,0.824583971428571,"Low",31.08618,0.444088285714286,"Low","1984","Fiji",56.3172,0.804531428571429,"Low"
"1858","1985",14.06,346.12,304.54,1652.29,"1985","Fiji",71.2,1603.33,"Low",0.0029,"Less Than 0.5%","1985","Fiji",57.299135,0.804763132022472,"Low",30.496064,0.428315505617978,"Low","1985","Fiji",57.7159,0.810616573033708,"Low"
"1859","1986",14.14,347.42,305.37,1669.49,"1986","Fiji",71.9,1795.38,"Low",0.0029,"Less Than 0.5%","1986","Fiji",59.808592,0.831830208623088,"Low",33.15481,0.461123922114047,"Low","1986","Fiji",60.0831,0.835648122392212,"Low"
"1860","1987",14.28,349.19,305.55,1680.66,"1987","Fiji",72.2,1631.94,"Low",0.0023,"Less Than 0.5%","1987","Fiji",47.199537,0.653733199445983,"Low",33.44497,0.463226731301939,"Low","1987","Fiji",60.7871,0.841926592797784,"Low"
"1861","1988",14.29,351.57,306.49,1698.83,"1988","Fiji",72.3,1535.39,"Low",0.0025,"Less Than 0.5%","1988","Fiji",54.97651,0.760394329183956,"Low",33.14644,0.458456984785615,"Low","1988","Fiji",62.0107,0.857686030428769,"Low"
"1862","1989",14.19,353.12,307.48,1710.52,"1989","Fiji",72.5,1632.21,"Low",0.0028,"Less Than 0.5%","1989","Fiji",62.520222,0.862347889655173,"Low",35.23987,0.486067172413793,"Low","1989","Fiji",63.1405,0.870903448275862,"Low"
"1863","1990",14.35,354.39,308.78,1709.33,"1990","Fiji",72.9,1835.13,"Low",0.0036,"Less Than 0.5%","1990","Fiji",80.605677,1.10570201646091,"Low",35.43238,0.486040877914952,"Low","1990","Fiji",63.5201,0.871331961591221,"Low"
"1864","1991",14.29,355.61,309.57,1729.07,"1991","Fiji",73.5,1881.75,"Low",0.003,"Less Than 0.5%","1991","Fiji",66.312451,0.902210217687075,"Low",34.03087,0.463005034013605,"Low","1991","Fiji",64.6859,0.880080272108843,"Low"
"1865","1992",14.14,356.45,310,1731.05,"1992","Fiji",74.4,2057.58,"Low",0.0033,"Less Than 0.5%","1992","Fiji",74.003226,0.994667016129032,"Low",34.17626,0.459358333333333,"Low","1992","Fiji",65.0755,0.874670698924731,"Low"
"1866","1993",14.18,357.1,310.25,1735.65,"1993","Fiji",75.5,2166.23,"Low",0.0034,"Less Than 0.5%","1993","Fiji",74.366001,0.984980145695364,"Low",36.11283,0.478315629139073,"High","1993","Fiji",68.8064,0.911343046357616,"Low"
"1867","1994",14.24,358.83,310.98,1741.66,"1994","Fiji",76.6,2384.1,"Low",0.0033,"Less Than 0.5%","1994","Fiji",73.859681,0.964225600522193,"Low",37.5152699999999,0.489755483028719,"Low","1994","Fiji",71.1017,0.928220626631854,"Low"
"1868","1995",14.37,360.82,311.78,1747.1,"1995","Fiji",77.5,2540.99,"Low",0.0033,"Less Than 0.5%","1995","Fiji",75.389474,0.972767406451613,"Low",39.38085,0.50814,"Low","1995","Fiji",73.4493,0.947732903225806,"Low"
"1869","1996",14.22,362.61,312.81,1749.86,"1996","Fiji",78.4,2714.56,"Low",0.0035,"Less Than 0.5%","1996","Fiji",81.316726,1.0372031377551,"Low",39.12541,0.499048596938776,"High","1996","Fiji",73.3788,0.935954081632653,"Low"
"1870","1997",14.41,363.73,313.53,1753.94,"1997","Fiji",79.3,2641.48,"Low",0.0033,"Less Than 0.5%","1997","Fiji",78.243628,0.986678789407314,"Low",39.3907699999999,0.496731021437578,"High","1997","Fiji",72.9066,0.919377049180328,"Low"
"1871","1998",14.55,366.7,314.2,1762.43,"1998","Fiji",80,2070.57,"Low",0.0032,"Less Than 0.5%","1998","Fiji",76.11041,0.951380125,"Low",37.98771,0.474846375,"Low","1998","Fiji",71.7331,0.89666375,"Low"
"1872","1999",14.34,368.38,315.15,1772.33,"1999","Fiji",80.6,2408.74,"Low",0.0032,"Less Than 0.5%","1999","Fiji",77.50226,0.961566501240695,"Low",36.17545,0.448826923076923,"Low","1999","Fiji",70.5884,0.875786600496278,"Low"
"1873","2000",14.33,369.55,316.14,1774.07,"2000","Fiji",81.1,2076.57,"Low",0.0034,"Less Than 0.5%","2000","Fiji",83.360376,1.02787146732429,"Low",34.33746,0.423396547472256,"Low","2000","Fiji",70.4812,0.869065351418002,"Low"
"1874","2001",14.47,371.14,316.89,1772.95,"2001","Fiji",81.4,2039.63,"Low",0.0042,"Less Than 0.5%","2001","Fiji",104.595069,1.28495170761671,"Low",35.66736,0.438173955773956,"High","2001","Fiji",71.7243,0.881133906633907,"Low"
"1875","2002",14.52,373.28,317.47,1773.14,"2002","Fiji",81.5,2260.26,"Low",0.0034,"Less Than 0.5%","2002","Fiji",87.945234,1.07908262576687,"Low",37.8268199999999,0.464132760736195,"High","2002","Fiji",69.6958,0.855163190184049,"Low"
"1876","2003",14.54,375.8,318.21,1777.41,"2003","Fiji",81.6,2837.89,"Low",0.0039,"Less Than 0.5%","2003","Fiji",103.607455,1.26969920343137,"Low",37.42847,0.458682230392157,"High","2003","Fiji",68.8843,0.844170343137255,"Low"
"1877","2004",14.48,377.52,318.93,1775.44,"2004","Fiji",81.8,3334.93,"Low",0.0048,"Less Than 0.5%","2004","Fiji",133.998339,1.63812150366748,"Low",37.62067,0.459910391198044,"High","2004","Fiji",69.2606,0.846706601466993,"Low"
"1878","2005",14.57,379.8,319.6,1774.55,"2005","Fiji",82.2,3659.58,"Low",0.0037,"Less Than 0.5%","2005","Fiji",108.100603,1.31509249391728,"Low",37.8816899999999,0.460847810218977,"High","2005","Fiji",69.6368,0.84716301703163,"Low"
"1879","2006",14.54,381.9,320.37,1776.4,"2006","Fiji",82.8,3747.86,"Low",0.004,"Less Than 0.5%","2006","Fiji",120.137286,1.4509334057971,"Low",38.42481,0.464067753623188,"High","2006","Fiji",69.9988,0.845396135265701,"Low"
"1880","2007",14.52,383.79,321.14,1781.75,"2007","Fiji",83.6,4072.1,"Low",0.0037,"Less Than 0.5%","2007","Fiji",114.113952,1.36499942583732,"Low",38.52649,0.460843181818182,"High","2007","Fiji",70.3696,0.841741626794258,"Low"
"1881","2008",14.44,385.6,322.11,1789.94,"2008","Fiji",84.5,4167.67,"Low",0.0028,"Less Than 0.5%","2008","Fiji",87.775823,1.03876713609467,"Very Low",38.79619,0.45912650887574,"High","2008","Fiji",70.7061,0.836758579881657,"Low"
"1882","2009",14.55,387.43,322.88,1793.63,"2009","Fiji",85.4,3362.82,"Low",0.0025,"Less Than 0.5%","2009","Fiji",77.85596,0.911662295081967,"Very Low",32.99578,0.386367447306792,"Low","2009","Fiji",70.4557,0.825008196721311,"Low"
"1883","2010",14.62,389.9,323.7,1796.84,"2010","Fiji",86,3652.53,"Low",0.0036,"Less Than 0.5%","2010","Fiji",120.124543,1.39679701162791,"Low",33.71033,0.391980581395349,"High","2010","Fiji",70.0595,0.814645348837209,"Low"
"1884","2011",14.48,391.65,324.61,1803.42,"2011","Fiji",86.3,4371.46,"Low",0.0031,"Less Than 0.5%","2011","Fiji",106.790073,1.23742842410197,"Low",34.0474333,0.394524140208575,"High","2011","Fiji",70.760095,0.81993157589803,"Low"
"1885","2012",14.54,393.85,325.58,1810.33,"2012","Fiji",86.5,4591.56,"Low",0.003,"Less Than 0.5%","2012","Fiji",104.107488,1.20355477456647,"Low",34.3845366,0.397509093641618,"High","2012","Fiji",71.46069,0.826135144508671,"Low"
"1886","2013",14.57,396.52,326.53,1815.44,"2013","Fiji",86.6,4840.69,"Low",0.0032,"Less Than 0.5%","2013","Fiji",112.917561,1.3038979330254,"Low",NA,NA,NA,"2013","Fiji",NA,NA,NA
"1887","2014",14.64,398.65,327.61,1824.4,"2014","Fiji",86.6,5605.57,"Low",0.0032,"Less Than 0.5%","2014","Fiji",114.650349,1.32390703233256,"Low",NA,NA,NA,"2014","Fiji",NA,NA,NA
"1888","2015",14.83,400.83,328.51,1834.63,"2015","Fiji",86.9,5390.75,"Low",0.0035,"Less Than 0.5%","2015","Fiji",125.070034,1.43924089758343,"Low",NA,NA,NA,"2015","Fiji",NA,NA,NA
"1889","2016",14.89,404.24,329.29,1842.4,"2016","Fiji",87.2,5651.32,"Low",0.0035,"Less Than 0.5%","2016","Fiji",126.412492,1.4496845412844,"Low",NA,NA,NA,"2016","Fiji",NA,NA,NA
"1890","2017",14.81,406.55,NA,1849.63,"2017","Fiji",87.7,6101.03,"Low",0.0037,"Less Than 0.5%","2017","Fiji",134.438666,1.53293803876853,"Low",NA,NA,NA,"2017","Fiji",NA,NA,NA
"1891","1955",13.77,314.71,290.1,1207.03,"1955","Finland",423.8,NA,NA,0.1506,"Less Than 0.5%","1955","Finland",1092.9712,2.57897876356772,"High",NA,NA,NA,"1955","Finland",NA,NA,NA
"1892","1956",13.72,315.34,NA,NA,"1956","Finland",428.2,NA,NA,0.1576,"Less Than 0.5%","1956","Finland",1217.1808,2.84255207846801,"Very High",NA,NA,NA,"1956","Finland",NA,NA,NA
"1893","1957",13.97,315.34,NA,NA,"1957","Finland",432.4,NA,NA,0.1537,"Less Than 0.5%","1957","Finland",1224.5088,2.83188899167438,"Very High",NA,NA,NA,"1957","Finland",NA,NA,NA
"1894","1958",14.03,315.34,NA,NA,"1958","Finland",436.3,NA,NA,0.1292,"Less Than 0.5%","1958","Finland",1061.0944,2.43202933761173,"High",NA,NA,NA,"1958","Finland",NA,NA,NA
"1895","1959",13.98,315.97,NA,NA,"1959","Finland",440,NA,NA,0.1508,"Less Than 0.5%","1959","Finland",1355.573917,3.08084981136364,"Very High",NA,NA,NA,"1959","Finland",NA,NA,NA
"1896","1960",13.95,316.91,291.4,1262.97,"1960","Finland",443.5,1179.35,"Very High",0.1603,"Less Than 0.5%","1960","Finland",1508.693458,3.40178908229989,"Very High",NA,NA,NA,"1960","Finland",NA,NA,NA
"1897","1961",14,317.64,NA,NA,"1961","Finland",446.8,1327.43,"Very High",0.1579,"Less Than 0.5%","1961","Finland",1492.169799,3.33968173455685,"Very High",NA,NA,NA,"1961","Finland",NA,NA,NA
"1898","1962",14.01,318.45,NA,NA,"1962","Finland",449.9,1411.7,"Very High",0.1707,"Less Than 0.5%","1962","Finland",1679.027856,3.73200234718826,"High",NA,NA,NA,"1962","Finland",NA,NA,NA
"1899","1963",14.02,318.99,NA,NA,"1963","Finland",452.7,1522.32,"Very High",0.1863,"Less Than 0.5%","1963","Finland",1933.649111,4.27136980561078,"Very High",NA,NA,NA,"1963","Finland",NA,NA,NA
"1900","1964",13.76,319.62,NA,NA,"1964","Finland",455,1707.5,"Very High",0.2081,"Less Than 0.5%","1964","Finland",2282.76888,5.01707446153846,"Very High",NA,NA,NA,"1964","Finland",NA,NA,NA
"1901","1965",13.83,320.04,292.9,1328.47,"1965","Finland",456.9,1882.09,"Very High",0.2207,"Less Than 0.5%","1965","Finland",2530.008647,5.53733562486321,"Very High",NA,NA,NA,"1965","Finland",NA,NA,NA
"1902","1966",13.89,321.38,NA,NA,"1966","Finland",458.1,2010.21,"Very High",0.2448,"Less Than 0.5%","1966","Finland",2948.88408,6.4372060248854,"Very High",NA,NA,NA,"1966","Finland",NA,NA,NA
"1903","1967",13.9,322.16,NA,NA,"1967","Finland",458.9,2034.19,"Very High",0.23,"Less Than 0.5%","1967","Finland",2858.773452,6.22962181738941,"Very High",NA,NA,NA,"1967","Finland",NA,NA,NA
"1904","1968",13.87,323.04,NA,NA,"1968","Finland",459.4,1907.08,"Very High",0.2548,"Less Than 0.5%","1968","Finland",3328.14671,7.244550957771,"Very High",NA,NA,NA,"1968","Finland",NA,NA,NA
"1905","1969",14.01,324.62,NA,NA,"1969","Finland",460.1,2178.04,"Very High",0.2737,"Less Than 0.5%","1969","Finland",3789.682932,8.23665058030863,"Very High",NA,NA,NA,"1969","Finland",NA,NA,NA
"1906","1970",13.96,325.68,294.9,1403.19,"1970","Finland",461.2,2465.64,"Very High",0.2718,"Less Than 0.5%","1970","Finland",4035.504644,8.75001006938422,"Very High",674.9785,1.46352666955768,"Very High","1970","Finland",997.217,2.16222246313964,"High"
"1907","1971",13.83,326.32,NA,NA,"1971","Finland",462.9,2716.19,"Very High",0.2631,"Less Than 0.5%","1971","Finland",4053.678351,8.75713620868438,"Very High",685.8595,1.48165802549147,"Very High","1971","Finland",988.327,2.1350766904299,"Very High"
"1908","1972",13.94,327.45,NA,NA,"1972","Finland",465.1,3177.65,"Very High",0.2753,"Less Than 0.5%","1972","Finland",4410.613359,9.48315063212213,"Very High",718.7629,1.54539432380133,"Very High","1972","Finland",996.734,2.14305310685874,"Very High"
"1909","1973",14.09,329.68,NA,NA,"1973","Finland",467.5,4173.17,"Very High",0.292,"Less Than 0.5%","1973","Finland",4932.024071,10.5497841090909,"Very High",758.5793,1.62262951871658,"Very High","1973","Finland",1003.06,2.14558288770053,"High"
"1910","1974",13.84,330.18,NA,NA,"1974","Finland",469.9,5297.61,"Very High",0.2754,"Less Than 0.5%","1974","Finland",4660.848276,9.91880884443499,"Very High",779.6717,1.6592289848904,"Very High","1974","Finland",999.834,2.12775909768036,"Very High"
"1911","1975",13.91,331.11,297.4,1483.57,"1975","Finland",471.9,6255.54,"Very High",0.2735,"Less Than 0.5%","1975","Finland",4602.580944,9.75329719008264,"Very High",768.7318,1.62901419792329,"Very High","1975","Finland",940.054,1.99206187751642,"High"
"1912","1976",13.83,332.04,NA,NA,"1976","Finland",473.4,6739.69,"Very High",0.2876,"Less Than 0.5%","1976","Finland",5119.860659,10.8150837748204,"Very High",692.4749,1.46276911702577,"Very High","1976","Finland",949.159,2.00498310097169,"High"
"1913","1977",14.11,333.83,NA,NA,"1977","Finland",474.7,7069.11,"Very High",0.2731,"Less Than 0.5%","1977","Finland",5013.713874,10.561857750158,"Very High",674.7584,1.42144175268591,"Very High","1977","Finland",949.174,1.99952390983779,"High"
"1914","1978",14.02,335.4,298.82,1532.77,"1978","Finland",475.8,7628.82,"Very High",0.2792,"Less Than 0.5%","1978","Finland",5182.518849,10.8922212042875,"Very High",732.158,1.53879361076082,"Very High","1978","Finland",964.937,2.02803068516183,"High"
"1915","1979",14.13,336.84,300.04,1549.53,"1979","Finland",477.1,9332.25,"Very High",0.2768,"Less Than 0.5%","1979","Finland",5423.721501,11.3681020771327,"Very High",760.8702,1.59478138754978,"Very High","1979","Finland",984.62,2.06376021798365,"High"
"1916","1980",14.18,338.75,300.65,1566.28,"1980","Finland",478.8,11223.94,"Very High",0.2999,"Less Than 0.5%","1980","Finland",5813.951409,12.1427556578947,"Very High",773.0129,1.61447974101921,"Very High","1980","Finland",1004.73,2.0984335839599,"High"
"1917","1981",14.22,340.11,301.23,1583.48,"1981","Finland",481,10926.82,"Very High",0.2736,"Less Than 0.5%","1981","Finland",5140.353388,10.6868053804574,"Very High",732.9516,1.5238079002079,"Very High","1981","Finland",1012.08,2.10411642411642,"Very High"
"1918","1982",14.09,341.45,303.56,1600.69,"1982","Finland",483.5,10938.12,"Very High",0.2308,"Less Than 0.5%","1982","Finland",4297.675203,8.88867673836608,"Very High",732.0433,1.51405025853154,"Very High","1982","Finland",991.773,2.05123681489142,"High"
"1919","1983",14.26,343.05,303.78,1617.89,"1983","Finland",486.2,10497.48,"Very High",0.2235,"Less Than 0.5%","1983","Finland",4146.368495,8.52811290621143,"Very High",784.8921,1.61433998354587,"Very High","1983","Finland",991.679,2.03965240641711,"High"
"1920","1984",14.07,344.65,304.02,1635.09,"1984","Finland",488.8,10833.87,"Very High",0.2193,"Less Than 0.5%","1984","Finland",4214.743958,8.6226349386252,"Very High",777.2661,1.59015159574468,"Very High","1984","Finland",915.43,1.87281096563011,"Very High"
"1921","1985",14.06,346.12,304.54,1652.29,"1985","Finland",491.1,11398.11,"Very High",0.2503,"Less Than 0.5%","1985","Finland",4954.938796,10.0894701608634,"Very High",748.8794,1.52490205660762,"Very High","1985","Finland",931.911,1.89759926695174,"Very High"
"1922","1986",14.14,347.42,305.37,1669.49,"1986","Finland",493,14951.05,"Very High",0.2609,"Less Than 0.5%","1986","Finland",5321.465368,10.7940473995943,"Very High",750.1318,1.52156551724138,"Very High","1986","Finland",934.862,1.89627180527383,"High"
"1923","1987",14.28,349.19,305.55,1680.66,"1987","Finland",494.6,18571.06,"Very High",0.2751,"Less Than 0.5%","1987","Finland",5753.371253,11.6323721249495,"Very High",738.234,1.49258794985847,"Very High","1987","Finland",939.554,1.89962393853619,"High"
"1924","1988",14.29,351.57,306.49,1698.83,"1988","Finland",496.1,22047.79,"Very High",0.2401,"Less Than 0.5%","1988","Finland",5205.842565,10.4935347006652,"Very High",732.2417,1.47599617012699,"Very High","1988","Finland",946.684,1.9082523684741,"Very High"
"1925","1989",14.19,353.12,307.48,1710.52,"1989","Finland",497.7,23973.24,"Very High",0.2367,"Less Than 0.5%","1989","Finland",5244.830786,10.5381370022102,"Very High",771.993,1.55112115732369,"Very High","1989","Finland",967.387,1.94371508941129,"Very High"
"1926","1990",14.35,354.39,308.78,1709.33,"1990","Finland",499.6,28364.65,"Very High",0.2568,"Less Than 0.5%","1990","Finland",5696.698668,11.4025193514812,"Very High",781.293,1.56383706965572,"Very High","1990","Finland",1006.86,2.01533226581265,"Very High"
"1927","1991",14.29,355.61,309.57,1729.07,"1991","Finland",501.9,25484.74,"Very High",0.2462,"Less Than 0.5%","1991","Finland",5522.526732,11.003241147639,"Very High",738.7734,1.47195337716677,"Very High","1991","Finland",980.066,1.95271169555688,"Very High"
"1928","1992",14.14,356.45,310,1731.05,"1992","Finland",504.5,22319.06,"Very High",0.2446,"Less Than 0.5%","1992","Finland",5428.047465,10.7592615758176,"Very High",662.1011,1.31239068384539,"Very High","1992","Finland",969.945,1.92258671952428,"High"
"1929","1993",14.18,357.1,310.25,1735.65,"1993","Finland",507.2,17608.81,"Very High",0.2544,"Less Than 0.5%","1993","Finland",5634.852402,11.1097247673502,"Very High",677.1826,1.3351391955836,"Very High","1993","Finland",984.108,1.94027602523659,"Very High"
"1930","1994",14.24,358.83,310.98,1741.66,"1994","Finland",509.7,20301.33,"Very High",0.2739,"Less Than 0.5%","1994","Finland",6171.156831,12.1074295291348,"Very High",697.4318,1.36831822640769,"Very High","1994","Finland",1013.59,1.98860113792427,"Very High"
"1931","1995",14.37,360.82,311.78,1747.1,"1995","Finland",511.9,26271.6,"Very High",0.2527,"Less Than 0.5%","1995","Finland",5814.156,11.3579917952725,"Very High",708.4368,1.38393592498535,"Very High","1995","Finland",1020.3,1.99316272709514,"Very High"
"1932","1996",14.22,362.61,312.81,1749.86,"1996","Finland",513.7,25783.45,"Very High",0.2723,"Less Than 0.5%","1996","Finland",6405.835001,12.4699922153008,"Very High",717.0114,1.39577846992408,"Very High","1996","Finland",999.877,1.9464220362079,"Very High"
